relation_id,sentence_id,description,is_true,expectation,words,c_start,c_length,p_start,p_length,p_length,features,weights
8644451@12_21-8644451@12_28,8644451@12,Arthur L. White-Ellen White,,0.49,"{In,1966,the,White,Estate,board,of,trustees,"","",in,counsel,with,the,General,Conference,of,Seventh-day,Adventists,officers,"","",asked,White,to,author,a,definitive,biography,of,Ellen,White,.}",28,2,21,1,1,"{INV_NGRAM_1_[author],INV_NGRAM_1_[biography],""INV_BETW_[prep_of biography dep author prep_to ask dobj]"",""INV_NGRAM_2_[definitive biography]"",""INV_BETW_L_[prep_of dep prep_to dobj]"",""INV_BETW_D_[prep_of biography dep author prep_to ask dobj]""}","{0.0433825,-0.024035,-0.00268407,-0.00268407,-0.00268407,-0.00268407}"
24569225@21_3-24569225@21_15,24569225@21,Eva Likova-Herva Nelli,,0.258,"{In,1959,"","",Likova,portrayed,Oscar,in,``,Un,ballo,in,maschera,'',"","",opposite,Herva,Nelli,and,Richard,Tucker,"","",for,the,Opera,Guild,of,Miami,.}",15,2,3,1,1,"{INV_NGRAM_1_[opposite],INV_NGRAM_1_[portray],INV_NGRAM_1_[un],""INV_BETW_L_[conj_and prep_in nsubj]"",""INV_BETW_D_[conj_and ballo prep_in portray nsubj]"",""INV_NGRAM_2_[un ballo]""}","{-0.476805,-0.327753,-0.108974,-0.00859673,0.00422165,0.00422165}"
7097790@106_8-7097790@106_2,7097790@106,James Fintan Lalor-Tenakill,,0.32,"{Writing,from,Tenakill,"","",his,family,home,"","",Fintan,Lalor,put,forward,his,views,on,current,affairs,and,in,particularly,on,land,reform,.}",2,1,8,2,2,"{people_between_bucket=0,NGRAM_1_[family],NGRAM_1_[home],""NGRAM_2_[family home]"",""BETW_L_[prep_from vmod nsubj]"",""BETW_D_[prep_from write vmod put nsubj]""}","{-0.729378,0.406702,-0.356713,0.0168914,-0.00994899,-0.00980586}"
2612854@38_17-2612854@38_22,2612854@38,Rochus Misch-Hitler,,0.512,"{On,16,January,1945,"","",following,the,Wehrmacht,'s,defeat,in,the,Battle,of,the,Bulge,"","",Misch,and,the,rest,of,Hitler,'s,personal,staff,moved,into,the,``,F,hrerbunker,'',in,Berlin,.}",22,1,17,1,1,"{INV_NGRAM_1_[rest],""INV_BETW_L_[poss prep_of conj_and conj_and]""}","{-0.0387855,0.0105073}"
30270093@66_13-30270093@66_7,30270093@66,Froilano de Mello-Salazar,,0.202,"{Finding,himself,under,increased,political,persecution,by,Salazar,'s,government,in,Goa,"","",Mello,emigrated,with,his,wife,to,Brazil,in,1951,"","",where,three,of,their,children,were,already,settled,.}",7,1,13,1,1,"{people_between_bucket=0,NGRAM_1_['s],NGRAM_1_[government],""BETW_L_[poss agent vmod nsubj]"",""BETW_[poss government agent find vmod emigrate nsubj]"",""BETW_D_[poss government agent find vmod emigrate nsubj]""}","{-0.729378,-0.57959,-0.0807227,-0.0204526,-0.0107858,-0.0107858}"
21087231@1_0-21087231@1_9,21087231@1,Sergei Konstantinovich Gershelman-Sergey Konstantinovich Gershelman,,0.512,"{Sergei,Konstantinovich,Gershelman,Sergei,Konstantinovich,Gershelman,-LRB-,"","",``,Sergey,Konstantinovich,Gershelman,'',;,26,June,1854,-,17,October,1910,-RRB-,"","",last,name,also,spelled,Hershelman,"","",was,a,Imperial,Russian,Army,general,"","",who,fought,in,the,Russo-Japanese,War,and,served,as,the,Governor-General,of,Moscow,.}",9,3,0,3,3,"{""INV_BETW_L_[dep ccomp nsubj nn]""}",{-0.00832771}
594263@14_0-594263@14_22,594263@14,Eliphalet Remington-Samuel Remington,,0.406,"{Eliphalet,Remington,was,married,to,Abigail,Paddock,"","",and,they,had,three,sons,"","",Philo,Remington,"","",Eliphalet,Remington,II,"","",and,Samuel,Remington,"","",all,of,whom,followed,their,father,into,the,family,business,.}",22,2,0,2,2,"{INV_NGRAM_1_[son],INV_NGRAM_1_[marry],INV_NGRAM_1_[three],""INV_NGRAM_2_[three son]"",""INV_BETW_L_[conj_and dobj conj_and nsubjpass]""}","{1.76438,-1.27006,-0.695591,-0.103207,-0.0589128}"
2458351@49_0-2458351@49_17,2458351@49,Jeremy Horn-Renato,,0.044,"{Horn,'s,next,fight,of,the,night,was,for,the,final,against,future,Strikeforce,Light,Heavyweight,Champion,Renato,``,Babalu,'',Sobral,.}",17,1,0,1,1,"{INV_NGRAM_1_['s],INV_NGRAM_1_[fight],INV_NGRAM_1_[final],INV_NGRAM_1_[next],INV_NGRAM_1_[night],""INV_NGRAM_2_['s next]""}","{-1.17199,-0.510045,-0.507113,-0.182359,-0.113777,-0.0525136}"
5468132@1_26-5468132@1_10,5468132@1,William of Volpiano-Guglielmo da Volpiano,,0.132,"{William,of,Volpiano,Saint,William,of,Volpiano,-LRB-,Italian,:,Guglielmo,da,Volpiano,;,French,:,Guillaume,de,Volpiano,;,English,:,William,of,Dijon,"","",William,of,Saint,Benignus,-RRB-,-LRB-,June/July,962,January,1,"","",1031,-RRB-,was,an,Italian,monastic,reformer,and,architect,.}",10,3,26,1,1,"{people_between_bucket=2,NGRAM_1_[de],""BETW_L_[dep dep appos]""}","{-1.00443,-0.868834,0.00313852}"
16945036@24_10-16945036@24_15,16945036@24,Sven Verbrugge-Willemsen,,0.36,"{After,riding,with,fellow,Belgian,Peter,Steegmans,in,2010,"","",Verbrugge,started,once,more,with,Willemsen,in,2011,"","",after,an,injury,to,first-choice,passenger,Roman,Vasyliaka,.}",15,1,10,1,1,"{INV_NGRAM_1_[start],""INV_BETW_L_[prep_with nsubj]"",""INV_BETW_D_[prep_with start nsubj]"",""INV_BETW_[prep_with start nsubj]""}","{-0.405019,-0.326138,-0.0192318,-0.0192318}"
